season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,1/1/2012 19:23,Morton Street,3,0,1,8,158
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:03,West Concord,7,48,2,242,159
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,1/1/2012 19:27,Fairmount,4,0,3,5,160
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:09,Concord,8,40,0,282,161
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,1/1/2012 19:31,Readville,5,0,5,0,162
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:15,Lincoln,9,23,0,305,163
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,1/1/2012 20:30,South Station,1,28,0,28,164
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:18,Silver Hill,10,5,1,309,165
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,1/1/2012 20:41,Uphams Corner,2,0,4,24,166
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:20,Hastings,11,8,0,317,167
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,1/1/2012 20:48,Morton Street,3,0,8,16,168
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:22,Kendal Green,12,15,1,331,169
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,1/1/2012 20:52,Fairmount,4,0,5,11,170
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:26,Brandeis/Roberts,13,22,16,337,171
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,1/1/2012 20:56,Readville,5,0,11,0,172
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 13:30,Waltham,14,58,4,391,173
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,1/1/2012 21:30,South Station,1,82,0,82,174
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,1/1/2012 21:41,Uphams Corner,2,1,4,79,175
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,1/1/2012 21:48,Morton Street,3,0,25,54,176
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,1/1/2012 21:52,Fairmount,4,2,39,17,177
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,1/1/2012 21:56,Readville,5,0,17,0,178
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,1/1/2012 22:10,South Station,1,119,0,119,179
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,1/1/2012 22:21,Uphams Corner,2,0,9,110,180
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,1/1/2012 22:28,Morton Street,3,0,20,90,181
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,1/1/2012 22:32,Fairmount,4,0,41,49,182
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,1/1/2012 22:36,Readville,5,0,49,0,183
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,1/1/2012 22:45,South Station,1,68,0,68,184
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,1/1/2012 22:56,Uphams Corner,2,0,2,66,185
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,1/1/2012 23:03,Morton Street,3,0,16,50,186
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,1/1/2012 23:07,Fairmount,4,0,28,22,187
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,1/1/2012 23:11,Readville,5,0,22,0,188
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,1/1/2012 23:30,South Station,1,54,0,54,189
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,1/1/2012 23:41,Uphams Corner,2,0,6,48,190
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,1/1/2012 23:48,Morton Street,3,0,12,36,191
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,1/1/2012 23:52,Fairmount,4,0,17,19,192
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,1/1/2012 23:56,Readville,5,0,19,0,193
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,1/2/2012 0:30,South Station,1,17,0,17,194
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,1/2/2012 0:41,Uphams Corner,2,1,6,12,195
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,1/2/2012 0:48,Morton Street,3,0,2,10,196
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,1/2/2012 0:52,Fairmount,4,0,4,6,197
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,1/2/2012 0:56,Readville,5,0,6,0,198
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,1/2/2012 2:40,South Station,1,13,0,13,199
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,1/2/2012 2:51,Uphams Corner,2,0,4,9,200
